pos,team,pts,j,v,e,d,gp,gc,sg
1,Flamengo,54,26,16,6,4,51,21,+30
2,Palmeiras,53,26,15,8,3,45,21,+24
3,Athletico Paranaense,46,27,13,7,7,41,31,+10
4,Fluminense,45,26,12,9,5,40,32,+8
5,Bahia,43,26,11,10,5,40,32,+8
6,Cruzeiro,42,26,12,6,8,38,37,+1
7,Coritiba,38,27,10,8,9,37,38,−1
8,Atlético Mineiro,36,25,10,6,9,32,30,+2
9,Red Bull Bragantino,35,25,10,5,10,31,28,+3
10,São Paulo,33,25,9,6,10,31,28,+3
11,Vitória,32,26,9,5,12,25,37,−12
12,Corinthians,32,26,8,8,10,27,27,0
13,Santos,32,25,8,8,9,37,38,−1
14,Botafogo,31,25,8,7,10,37,40,−3
15,Grêmio,28,25,7,7,11,27,33,−6
16,Mirassol,28,26,7,7,12,29,40,−11
17,Vasco da Gama,25,25,6,7,12,27,40,−13
18,Internacional,25,26,5,10,11,28,34,−6
19,Remo,23,26,5,8,13,30,43,−13
20,Chapecoense,17,25,3,8,14,27,50,−23
